game_id,names,min_players,max_players,avg_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,publisher,weight,expands,Category_1,Category_2,Category_3,Category_4,Mechanic_1,Mechanic_2,Mechanic_3,Mechanic_4,Mechanic_5
478,Citadels,2,8,60.0,2000,7.08987,6.98773,46148.0,10,"Action Drafting, Card Drafting, Lose a Turn, Set Collection, Turn Order: Role Order, Variable Player Powers",61226,"Bluffing, Card Game, City Building, Deduction, Fantasy, Medieval",Bruno Faidutti,Hans im Glück,2.054,Nothing,Bluffing,Card Game,City Building,Deduction,Action Drafting,Card Drafting,Lose a Turn,Set Collection,Turn Order: Role Order
481,Carolus Magnus,2,4,60.0,2000,6.82116,6.4192,3327.0,12,"Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Team-Based Game",3784,"Abstract Strategy, Medieval, Territory Building",Leo Colovini,Rio Grande Games,2.584,Nothing,Abstract Strategy,Medieval,Territory Building,,Area Majority / Influence,Dice Rolling,Hand Management,Modular Board,Team-Based Game
484,Stratego Legends,2,8,60.0,1999,5.78572,5.57267,702.0,8,"Memory, Modular Board, Rock-Paper-Scissors, Secret Unit Deployment, Variable Player Powers",1703,"Abstract Strategy, Bluffing, Collectible Components, Deduction, Fantasy, Memory",Craig Van Ness,"Avalon Hill Games, Inc.",2.2642,Nothing,Abstract Strategy,Bluffing,Collectible Components,Deduction,Memory,Modular Board,Rock-Paper-Scissors,Secret Unit Deployment,Variable Player Powers
485,Galloping Pigs,2,5,30.0,1992,5.74756,5.59099,962.0,6,unknown,1495,"Animals, Card Game, Children's Game",Heinz Meister,ABACUSSPIELE,1.1429,Nothing,Animals,Card Game,Children's Game,,unknown,,,,
491,Web of Power,3,5,60.0,2000,7.30727,6.74033,3282.0,12,"Area Majority / Influence, Card Drafting, Hand Management, Network and Route Building",3133,"Medieval, Territory Building",Michael Schacht,999 Games,2.4493,Nothing,Medieval,Territory Building,,,Area Majority / Influence,Card Drafting,Hand Management,Network and Route Building,
492,Aladdin's Dragons,3,5,90.0,2000,6.91566,6.456,3056.0,10,"Auction/Bidding, Set Collection, Worker Placement",3804,"Arabian, Bluffing, Fantasy, Medieval",Richard Breese,999 Games,2.4683,Nothing,Arabian,Bluffing,Fantasy,Medieval,Auction/Bidding,Set Collection,Worker Placement,,
494,Ave Caesar,2,6,30.0,1989,6.62543,6.3388,4298.0,12,"Hand Management, Race, Track Movement",4087,"Ancient, Racing",Wolfgang Riedesser,Asmodee,1.3626,Nothing,Ancient,Racing,,,Hand Management,Race,Track Movement,,
497,Vampire,3,5,30.0,2000,5.90768,5.61408,595.0,10,"Hand Management, Set Collection",859,Card Game,Reiner Knizia,Goldsieber Spiele,1.3286,Nothing,Card Game,,,,Hand Management,Set Collection,,,
503,Through the Desert,2,5,45.0,1998,7.06323,6.892,12287.0,10,"Chaining, Enclosure, Hexagon Grid, Hidden Victory Points, Network and Route Building, Static Capture",13233,"Abstract Strategy, Animals, Arabian",Reiner Knizia,KOSMOS,2.2104,Nothing,Abstract Strategy,Animals,Arabian,,Chaining,Enclosure,Hexagon Grid,Hidden Victory Points,Network and Route Building
508,Blue Max,2,6,60.0,1983,7.123,6.04903,785.0,13,"Critical Hits and Failures, Dice Rolling, Hexagon Grid, Movement Template, Simulation, Simultaneous Action Selection",1248,"Aviation / Flight, Wargame, World War I","Phil Hall, John Harshman",Diseños Orbitales,2.2632,Nothing,Aviation / Flight,Wargame,World War I,,Critical Hits and Failures,Dice Rolling,Hexagon Grid,Movement Template,Simulation
509,The Reef,2,2,60.0,2000,5.70803,5.56849,730.0,10,"Dice Rolling, Set Collection",1201,Card Game,"Christine Lehmann, Wolfgang A. Lehmann",KOSMOS,1.6111,Nothing,Card Game,,,,Dice Rolling,Set Collection,,,
511,Silverton,1,6,180.0,1991,7.1068,6.16748,1011.0,12,"Commodity Speculation, Dice Rolling, Network and Route Building, Pick-up and Deliver, Worker Placement",1746,"American West, Economic, Trains, Transportation","Dori Smith, Phillip John Smith",Mayfair Games,3.25,Nothing,American West,Economic,Trains,Transportation,Commodity Speculation,Dice Rolling,Network and Route Building,Pick-up and Deliver,Worker Placement
520,Axis & Allies: Europe,2,4,210.0,1999,6.52215,6.06516,2424.0,12,"Area Majority / Influence, Area Movement, Dice Rolling, Team-Based Game",4084,"Wargame, World War II","Larry Harris, Jr.","Avalon Hill Games, Inc.",2.8506,Nothing,Wargame,World War II,,,Area Majority / Influence,Area Movement,Dice Rolling,Team-Based Game,
526,Abalone Classic,2,2,30.0,1987,6.44467,6.2182,5908.0,7,"Grid Movement, Slide/Push, Static Capture",9142,Abstract Strategy,"Michel Lalet, Laurent Levi",Abalone Games,2.1922,Nothing,Abstract Strategy,,,,Grid Movement,Slide/Push,Static Capture,,
527,GIPF,2,2,60.0,1996,7.1085,6.55447,2810.0,9,"Grid Movement, Pattern Building",4514,Abstract Strategy,Kris Burm,Don & Co.,2.7678,Nothing,Abstract Strategy,,,,Grid Movement,Pattern Building,,,
528,ZÈRTZ,2,2,60.0,1999,7.30565,6.78276,3768.0,9,"Grid Movement, Map Reduction, Set Collection",5324,Abstract Strategy,Kris Burm,Don & Co.,2.7209,Nothing,Abstract Strategy,,,,Grid Movement,Map Reduction,Set Collection,,
531,Merchants of Amsterdam,3,5,60.0,2000,6.71582,6.11947,1533.0,10,"Area Majority / Influence, Auction/Bidding, Auction: Dexterity, Auction: Dutch, Auction: Dutch Priority, Tile Placement",2275,"Economic, Real-time, Renaissance",Reiner Knizia,Jumbo,2.6298,Nothing,Economic,Real-time,Renaissance,,Area Majority / Influence,Auction/Bidding,Auction: Dexterity,Auction: Dutch,Auction: Dutch Priority
533,Labyrinth: The Card Game,2,6,30.0,2000,5.57326,5.5267,1308.0,7,"Network and Route Building, Pattern Building, Pattern Recognition, Tile Placement",2913,"Card Game, Fantasy, Maze",Max J. Kobbert,Ravensburger Spieleverlag GmbH,1.2266,Nothing,Card Game,Fantasy,Maze,,Network and Route Building,Pattern Building,Pattern Recognition,Tile Placement,
534,N.Y. Chase,3,6,45.0,1999,6.4252,5.74688,562.0,10,"Hand Management, Point to Point Movement, Secret Unit Deployment, Team-Based Game",1158,"Deduction, Transportation",Projekt Team III,Grow Jogos e Brinquedos,1.98,Nothing,Deduction,Transportation,,,Hand Management,Point to Point Movement,Secret Unit Deployment,Team-Based Game,
539,Dampfross,2,6,90.0,1979,6.2665,5.75668,758.0,10,"Crayon Rail System, Network and Route Building",1656,"Racing, Trains",David G. Watts,Alga,2.1892,Nothing,Racing,Trains,,,Crayon Rail System,Network and Route Building,,,
542,Animocrazy 豬事議會,4,10,30.0,2000,5.52901,5.50082,1133.0,10,Voting,1444,"Card Game, Party Game",Bruno Faidutti,Descartes Editeur,1.2804,Nothing,Card Game,Party Game,,,Voting,,,,
545,Kaleidos,2,12,60.0,1994,6.69154,5.90823,751.0,10,Pattern Recognition,1106,Party Game,"Spartaco Albertarelli, Marianna Fulvi, Elena Prette, Angelo Zucca",Cocktail Games,1.2553,Nothing,Party Game,,,,Pattern Recognition,,,,
548,Buck Rogers: Battle for the 25th Century Game,2,6,120.0,1988,6.4273,5.79103,789.0,10,"Minimap Resolution, Multiple Maps",1521,"Comic Book / Strip, Movies / TV / Radio theme, Science Fiction, Wargame",Jeff Grubb,TSR,2.6849,Nothing,Comic Book / Strip,Movies / TV / Radio theme,Science Fiction,Wargame,Minimap Resolution,Multiple Maps,,,
550,Barbarossa,3,4,60.0,1988,6.33672,5.89541,1373.0,12,"Betting and Bluffing, Roll / Spin and Move, Targeted Clues",2345,"Deduction, Fantasy, Humor, Party Game, Word Game",Klaus Teuber,Alga,1.5435,Nothing,Deduction,Fantasy,Humor,Party Game,Betting and Bluffing,Roll / Spin and Move,Targeted Clues,,
551,Battle Cry,2,2,45.0,1999,7.164,6.63613,3369.0,10,"Command Cards, Dice Rolling, Hand Management, Modular Board",4217,"American Civil War, Wargame",Richard Borg,"Avalon Hill Games, Inc.",2.1014,Nothing,American Civil War,Wargame,,,Command Cards,Dice Rolling,Hand Management,Modular Board,
552,Bus,3,5,120.0,1999,7.42145,6.49048,1483.0,14,"Network and Route Building, Pick-up and Deliver, Worker Placement",2360,Transportation,"Jeroen Doumen, Joris Wiersinga",Splotter Spellen,3.0968,Nothing,Transportation,,,,Network and Route Building,Pick-up and Deliver,Worker Placement,,
553,Chez Geek,2,5,60.0,1999,5.72181,5.59874,4286.0,13,"Set Collection, Take That, Variable Player Powers",7253,Card Game,Jon Darbro,Edge Entertainment,1.4179,Nothing,Card Game,,,,Set Collection,Take That,Variable Player Powers,,
554,La Città,2,5,120.0,2000,7.04907,6.69335,4993.0,12,"Area Majority / Influence, Card Drafting, Commodity Speculation, Modular Board, Tile Placement",6391,"City Building, Civilization, Renaissance, Territory Building",Gerd Fenchel,KOSMOS,3.2771,Nothing,City Building,Civilization,Renaissance,Territory Building,Area Majority / Influence,Card Drafting,Commodity Speculation,Modular Board,Tile Placement
555,The Princes of Florence,2,5,100.0,2000,7.53861,7.32873,14363.0,12,"Auction/Bidding, Grid Coverage, Tile Placement",15410,"City Building, Renaissance","Wolfgang Kramer, Richard Ulrich, Jens Christopher Ulrich",alea,3.2502,Nothing,City Building,Renaissance,,,Auction/Bidding,Grid Coverage,Tile Placement,,
559,Metro,2,6,30.0,1997,6.37663,6.18068,5462.0,8,"Network and Route Building, Tile Placement",6611,Trains,Dirk Henn,Queen Games,1.6926,Nothing,Trains,,,,Network and Route Building,Tile Placement,,,
568,Rage,2,10,45.0,1983,6.19934,5.85246,1606.0,8,"Hand Management, Trick-taking",3886,Card Game,(Uncredited),999 Games,1.4718,Nothing,Card Game,,,,Hand Management,Trick-taking,,,
586,Up Front,2,3,60.0,1983,7.86079,6.86822,2108.0,12,"Campaign / Battle Card Driven, Hand Management, Relative Movement, Simulation, Variable Player Powers",3559,"Card Game, Wargame, World War II",Courtney F. Allen,The Avalon Hill Game Co,3.3935,Nothing,Card Game,Wargame,World War II,,Campaign / Battle Card Driven,Hand Management,Relative Movement,Simulation,Variable Player Powers
589,Wiz-War,2,4,60.0,1983,6.87909,6.18505,1592.0,10,"Modular Board, Player Elimination",1950,"Fantasy, Fighting",Tom Jolly,(Web published),1.9822,Nothing,Fantasy,Fighting,,,Modular Board,Player Elimination,,,
594,Sleuth,3,7,45.0,1971,6.90863,6.42083,2659.0,10,"Card Drafting, Deduction, Hand Management, Memory, Paper-and-Pencil",4767,"Card Game, Deduction",Sid Sackson,3M,2.4683,Nothing,Card Game,Deduction,,,Card Drafting,Deduction,Hand Management,Memory,Paper-and-Pencil
607,Honor of the Samurai,3,6,60.0,1996,5.91335,5.61277,799.0,10,"Action Points, Dice Rolling, Hand Management, Take That",1535,"Card Game, Medieval",Scott Kimball,AMIGO,2.1839,Nothing,Card Game,Medieval,,,Action Points,Dice Rolling,Hand Management,Take That,
619,The Bottle Imp,2,4,30.0,1995,6.73862,6.34961,3094.0,10,Trick-taking,4364,Card Game,Günter Cornett,Bambus Spieleverlag,1.8745,Nothing,Card Game,,,,Trick-taking,,,,
620,We the People,2,2,120.0,1993,7.30469,6.28754,1108.0,12,"Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling, Hand Management, Point to Point Movement, Simulation, Variable Player Powers",1634,"Age of Reason, American Revolutionary War, Wargame",Mark Herman,The Avalon Hill Game Co,2.7214,Nothing,Age of Reason,American Revolutionary War,Wargame,,Action/Event,Area Majority / Influence,Campaign / Battle Card Driven,Card Play Conflict Resolution,Dice Rolling
621,25 Words or Less,4,99,35.0,1996,6.52145,5.75712,509.0,10,"Auction/Bidding, Team-Based Game",733,"Party Game, Word Game",Bruce Sterten,Parker Brothers,1.5435,Nothing,Party Game,Word Game,,,Auction/Bidding,Team-Based Game,,,
624,Quoridor,2,4,15.0,1997,6.67875,6.40678,5873.0,8,"Grid Movement, Square Grid",8347,"Abstract Strategy, Maze",Mirko Marchesi,(Unknown),1.8947,Nothing,Abstract Strategy,Maze,,,Grid Movement,Square Grid,,,
626,War and Peace,2,6,180.0,1980,6.67136,5.94933,1052.0,12,"Dice Rolling, Hexagon Grid, Simulation",2539,"Napoleonic, Wargame",Mark McLaughlin,The Avalon Hill Game Co,3.3176,Nothing,Napoleonic,Wargame,,,Dice Rolling,Hexagon Grid,Simulation,,
631,Daytona 500,2,4,70.0,1990,7.15239,6.16687,993.0,10,"Auction/Bidding, Hand Management",1080,"Card Game, Racing, Sports",Wolfgang Kramer,Milton Bradley,1.7723,Nothing,Card Game,Racing,Sports,,Auction/Bidding,Hand Management,,,
632,Cloud 9,3,6,30.0,1999,6.47556,6.08475,2192.0,8,"Betting and Bluffing, Push Your Luck",2160,"Aviation / Flight, Bluffing, Card Game",Aaron Weissblum,F.X. Schmid,1.1506,Nothing,Aviation / Flight,Bluffing,Card Game,,Betting and Bluffing,Push Your Luck,,,
633,Elixir,3,8,60.0,1997,5.54048,5.48753,1069.0,10,"Auction/Bidding, Set Collection",2129,"Action / Dexterity, Card Game, Fantasy, Humor","Sylvie Barc, Frédéric Leygonie, Juan Rodriguez",Asmodee,1.4938,Nothing,Action / Dexterity,Card Game,Fantasy,Humor,Auction/Bidding,Set Collection,,,
634,River Dragons,2,6,30.0,2000,6.48514,6.15782,3135.0,8,"Action Queue, Point to Point Movement, Simultaneous Action Selection",3855,Abstract Strategy,Roberto Fraga,Matagot,1.715,Nothing,Abstract Strategy,,,,Action Queue,Point to Point Movement,Simultaneous Action Selection,,
635,Formula Motor Racing,3,6,20.0,1995,6.40606,6.01109,1885.0,8,"Dice Rolling, Hand Management",2248,"Card Game, Dice, Racing",Reiner Knizia,Egmont Polska,1.181,Nothing,Card Game,Dice,Racing,,Dice Rolling,Hand Management,,,
638,Hera and Zeus,2,2,30.0,2000,6.49644,6.17076,3219.0,12,"Action Points, Hand Management, Secret Unit Deployment",5001,"Bluffing, Card Game, Mythology",Richard Borg,KOSMOS,2.0405,Nothing,Bluffing,Card Game,Mythology,,Action Points,Hand Management,Secret Unit Deployment,,
651,Zero Down,2,5,20.0,1998,6.44013,5.79759,670.0,8,"Card Drafting, Set Collection, Trading",1016,Card Game,Reiner Knizia,AG Müller (AGMüller),1.275,Nothing,Card Game,,,,Card Drafting,Set Collection,Trading,,
655,Castle,2,5,30.0,2000,6.09812,5.81046,1628.0,14,"Hand Management, Tile Placement",2213,"Card Game, Medieval","Bruno Faidutti, Serge Laget",Descartes Editeur,1.9074,Nothing,Card Game,Medieval,,,Hand Management,Tile Placement,,,
670,Starship Troopers,1,2,120.0,1976,6.50445,5.91607,1161.0,12,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Solo / Solitaire Game",3416,"Novel-based, Science Fiction, Wargame",Randall C. Reed,The Avalon Hill Game Co,3.1159,Nothing,Novel-based,Science Fiction,Wargame,,Dice Rolling,Grid Movement,Hexagon Grid,Movement Points,Ratio / Combat Results Table
677,Would You Rather...?,3,8,20.0,1998,4.36356,5.12417,643.0,12,Voting,1703,Party Game,Randall Horn,Alga,1.2195,Nothing,Party Game,,,,Voting,,,,
681,Quarto,2,2,20.0,1991,6.86801,6.55279,5346.0,8,"I Cut, You Choose, Pattern Building",8282,Abstract Strategy,Blaise Muller,Gigamic,1.963,Nothing,Abstract Strategy,,,,I Cut,You Choose,Pattern Building,,
684,Monopoly: The Card Game,2,6,30.0,2000,5.52012,5.48779,581.0,8,"Set Collection, Trading",1345,"Card Game, Economic, Negotiation",Phil Orbanes Sr.,Competo / Marektoy,1.4545,Nothing,Card Game,Economic,Negotiation,,Set Collection,Trading,,,
691,Timbuktu,3,5,60.0,1993,6.67397,6.14612,1717.0,10,"Hand Management, Memory, Simultaneous Action Selection",2138,"Deduction, Economic",Dirk Henn,Queen Games,2.786,Nothing,Deduction,Economic,,,Hand Management,Memory,Simultaneous Action Selection,,
692,Wizard Kings,2,7,150.0,2000,6.69759,6.0238,1160.0,12,"Dice Rolling, Hexagon Grid, Modular Board, Secret Unit Deployment, Variable Player Powers",1963,"Fantasy, Wargame","Tom Dalgliesh, Grant Dalgliesh",Columbia Games,2.66,Nothing,Fantasy,Wargame,,,Dice Rolling,Hexagon Grid,Modular Board,Secret Unit Deployment,Variable Player Powers
696,The Big Idea,3,6,45.0,2000,6.29627,5.77716,819.0,10,"Player Judge, Stock Holding, Voting",1369,"Card Game, Party Game",James Ernest,Arclight,1.3191,Nothing,Card Game,Party Game,,,Player Judge,Stock Holding,Voting,,
697,Conspiracy,3,4,90.0,1973,6.24305,5.71148,576.0,10,"Betting and Bluffing, Memory, Pick-up and Deliver",1517,"Bluffing, Memory, Spies/Secret Agents",Eric Solomon,AMIGO,1.913,Nothing,Bluffing,Memory,Spies/Secret Agents,,Betting and Bluffing,Memory,Pick-up and Deliver,,
699,HeroQuest,2,5,90.0,1989,7.12121,6.80424,10360.0,10,"Dice Rolling, Die Icon Resolution, Grid Movement, Modular Board, Role Playing, Roll / Spin and Move, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",15509,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Stephen Baker,Estrela,2.1589,Nothing,Adventure,Exploration,Fantasy,Fighting,Dice Rolling,Die Icon Resolution,Grid Movement,Modular Board,Role Playing
700,Battle Masters,2,2,60.0,1992,6.25681,5.87989,2088.0,9,"Chit-Pull System, Dice Rolling, Die Icon Resolution, Turn Order: Random, Variable Phase Order, Variable Player Powers",3845,"Fantasy, Fighting, Miniatures, Wargame",Stephen Baker,MB Giochi,1.8721,Nothing,Fantasy,Fighting,Miniatures,Wargame,Chit-Pull System,Dice Rolling,Die Icon Resolution,Turn Order: Random,Variable Phase Order
701,A House Divided: War Between the States 1861-65,2,2,240.0,1981,7.08424,6.37857,1859.0,12,"Dice Rolling, Point to Point Movement, Simulation",3867,"American Civil War, Civil War, Post-Napoleonic, Wargame","Frank Chadwick, Alan Emrich",Diseños Orbitales,2.642,Nothing,American Civil War,Civil War,Post-Napoleonic,Wargame,Dice Rolling,Point to Point Movement,Simulation,,
704,Montgolfiere,2,6,45.0,1992,5.82724,5.58389,576.0,7,"Auction/Bidding, Hand Management, Simultaneous Action Selection",767,"Aviation / Flight, Racing",Dominique Ehrhard,Eurogames,1.2206,Nothing,Aviation / Flight,Racing,,,Auction/Bidding,Hand Management,Simultaneous Action Selection,,
712,Blood Bowl (Third Edition),2,2,180.0,1994,7.54047,7.0393,5120.0,12,"Dice Rolling, Grid Movement, Variable Player Powers",6232,"Fantasy, Fighting, Miniatures, Sports",Jervis Johnson,Games Workshop Ltd.,2.9812,Nothing,Fantasy,Fighting,Miniatures,Sports,Dice Rolling,Grid Movement,Variable Player Powers,,
713,Nuclear War,2,6,60.0,1965,6.20716,5.91484,2764.0,10,"Action Queue, Hand Management, Take That",3939,"Card Game, Modern Warfare, Negotiation, Political, Wargame",Douglas Malewicki,"Flying Buffalo, Inc. (FBI)",1.444,Nothing,Card Game,Modern Warfare,Negotiation,Political,Action Queue,Hand Management,Take That,,
714,Talisman,2,6,240.0,1983,6.36015,6.05273,4968.0,9,"Dice Rolling, Role Playing, Roll / Spin and Move, Variable Player Powers",6421,"Adventure, Exploration, Fantasy, Fighting",Robert Harris,Games Workshop Ltd.,2.179,Nothing,Adventure,Exploration,Fantasy,Fighting,Dice Rolling,Role Playing,Roll / Spin and Move,Variable Player Powers,
715,Escape from Colditz,2,6,180.0,1973,6.64572,6.19725,2835.0,12,"Card Drafting, Elapsed Real Time Ending, Roll / Spin and Move, Simulation",4823,"Adventure, World War II","Bob Brechin, Brian Degas, Major P.R. Reid M.B.E., M.C.",Clipper,2.2375,Nothing,Adventure,World War II,,,Card Drafting,Elapsed Real Time Ending,Roll / Spin and Move,Simulation,
718,Galaxy: The Dark Ages,2,5,90.0,2000,6.24241,5.71268,581.0,12,Betting and Bluffing,1004,"Card Game, Science Fiction","Don Greenwood, Reiner Knizia",GMT Games,2.3934,Nothing,Card Game,Science Fiction,,,Betting and Bluffing,,,,
730,Breakout: Normandy,2,2,240.0,1992,7.65817,6.35283,963.0,12,"Advantage Token, Area-Impulse, Dice Rolling",2173,"Wargame, World War II","Don Greenwood, James Stahler",The Avalon Hill Game Co,3.3962,Nothing,Wargame,World War II,,,Advantage Token,Area-Impulse,Dice Rolling,,
748,Trax,2,2,10.0,1980,6.50976,5.75769,514.0,8,"Network and Route Building, Pattern Building, Tile Placement",792,Abstract Strategy,David L. Smith,(Self-Published),2.1481,Nothing,Abstract Strategy,,,,Network and Route Building,Pattern Building,Tile Placement,,
759,Turning Point: Stalingrad,1,2,1800.0,1989,7.2216,6.03091,686.0,10,Area-Impulse,1666,"Wargame, World War II",Don Greenwood,The Avalon Hill Game Co,3.3178,Nothing,Wargame,World War II,,,Area-Impulse,,,,
760,Battle Line,2,2,30.0,2000,7.41584,7.22747,14978.0,12,"Hand Management, Set Collection",18520,"Ancient, Card Game, Deduction",Reiner Knizia,GMT Games,1.9072,Nothing,Ancient,Card Game,Deduction,,Hand Management,Set Collection,,,
761,The Great Brain Robbery,3,7,60.0,2000,5.54465,5.50135,561.0,10,"Campaign / Battle Card Driven, Roll / Spin and Move",1293,"American West, Card Game, Fantasy, Fighting, Horror, Trains, Zombies",James Ernest,Cheapass Games,1.3061,Nothing,American West,Card Game,Fantasy,Fighting,Campaign / Battle Card Driven,Roll / Spin and Move,,,
764,Mad Gab,2,12,45.0,1996,4.99423,5.23927,1312.0,10,unknown,3128,"Party Game, Word Game","Tim Walsh, Terry White",Drumond Park Ltd.,1.2597,Nothing,Party Game,Word Game,,,unknown,,,,
766,Regatta,2,6,60.0,1967,6.31602,5.71092,530.0,10,Roll / Spin and Move,1475,"Nautical, Racing, Sports","G. W. ""Jerry"" D'Arcey, David D'Arcey, Frank Thibault",3M,2.0676,Nothing,Nautical,Racing,Sports,,Roll / Spin and Move,,,,
770,Loot,2,8,20.0,1992,6.30077,6.12414,5711.0,10,"Area Majority / Influence, Hand Management, Team-Based Game",10259,"Card Game, Nautical, Pirates",Reiner Knizia,(Unknown),1.381,Nothing,Card Game,Nautical,Pirates,,Area Majority / Influence,Hand Management,Team-Based Game,,
782,"Win, Place & Show",3,6,120.0,1966,6.69641,5.90699,804.0,8,"Betting and Bluffing, Dice Rolling, Roll / Spin and Move",1714,"Animals, Racing, Sports","Thomas M. Divoll, John B. Reilly",3M,2.0842,Nothing,Animals,Racing,Sports,,Betting and Bluffing,Dice Rolling,Roll / Spin and Move,,
788,Tales of the Arabian Nights,1,6,120.0,1985,7.04261,6.0417,791.0,12,"Point to Point Movement, Storytelling, Trading, Variable Player Powers",1155,"Adventure, Arabian, Fantasy","Brad Freeman, Eric Goldberg, Doug Kaufman, Kevin Maroney, Ken Rolston",West End Games,2.443,Nothing,Adventure,Arabian,Fantasy,,Point to Point Movement,Storytelling,Trading,Variable Player Powers,
789,Focus,2,4,45.0,1963,6.45697,5.81819,721.0,10,Grid Movement,1418,Abstract Strategy,Sid Sackson,Daekor Designs,2.3889,Nothing,Abstract Strategy,,,,Grid Movement,,,,
793,Yahtzee Deluxe Poker,2,6,20.0,1994,6.0479,5.64519,517.0,12,"Auction/Bidding, Betting and Bluffing, Dice Rolling, Push Your Luck",1153,Dice,"Sean McGuire, Thomas McGuire",Hasbro,1.3214,Nothing,Dice,,,,Auction/Bidding,Betting and Bluffing,Dice Rolling,Push Your Luck,
798,Ace of Aces: Handy Rotary Series,2,2,20.0,1980,7.009,6.11952,1077.0,10,"Simulation, Simultaneous Action Selection",1634,"Aviation / Flight, Book, Wargame, World War I","Doug Kaufman, Alfred Leonardi","Flying Buffalo, Inc. (FBI)",1.7522,Nothing,Aviation / Flight,Book,Wargame,World War I,Simulation,Simultaneous Action Selection,,,
804,Thunder Road,2,4,45.0,1986,6.61899,5.87104,753.0,10,"Dice Rolling, Modular Board, Roll / Spin and Move",1209,"Fighting, Racing, Science Fiction",Jim Keifer,MB Jeux,1.3671,Nothing,Fighting,Racing,Science Fiction,,Dice Rolling,Modular Board,Roll / Spin and Move,,
805,Buffy the Vampire Slayer: The Game,2,5,90.0,2000,6.62257,6.06788,1628.0,12,"Role Playing, Roll / Spin and Move, Team-Based Game, Variable Player Powers",2869,"Horror, Movies / TV / Radio theme","Rob Daviau, Bill Sabram, Craig Van Ness",Hasbro,1.9934,Nothing,Horror,Movies / TV / Radio theme,,,Role Playing,Roll / Spin and Move,Team-Based Game,Variable Player Powers,
811,Rummikub,2,4,60.0,1977,6.35799,6.2034,11675.0,8,"Melding and Splaying, Set Collection",22350,"Abstract Strategy, Card Game, Number",Ephraim Hertzano,(Unknown),1.758,Nothing,Abstract Strategy,Card Game,Number,,Melding and Splaying,Set Collection,,,
814,Aquarius,2,5,30.0,1998,6.0331,5.7562,1634.0,6,"Pattern Building, Tile Placement",2715,"Card Game, Religious",Andrew Looney,"Covenant Communications, Inc.",1.14,Nothing,Card Game,Religious,,,Pattern Building,Tile Placement,,,
815,Chrononauts,1,6,30.0,2000,6.20406,6.00088,5144.0,11,"Hand Management, Modular Board, Push Your Luck, Solo / Solitaire Game",8820,"Bluffing, Card Game, Deduction, Educational, Political, Science Fiction, World War I, World War II",Andrew Looney,Looney Labs,1.8425,Nothing,Bluffing,Card Game,Deduction,Educational,Hand Management,Modular Board,Push Your Luck,Solo / Solitaire Game,
822,Carcassonne,2,5,45.0,2000,7.4195,7.31295,93281.0,7,"Area Majority / Influence, Map Addition, Tile Placement",135280,"City Building, Medieval, Territory Building",Klaus-Jürgen Wrede,Hans im Glück,1.9191,Nothing,City Building,Medieval,Territory Building,,Area Majority / Influence,Map Addition,Tile Placement,,
823,Lord of the Rings,2,5,90.0,2000,6.74909,6.59735,13677.0,12,"Cooperative Game, Dice Rolling, Hand Management, Set Collection, Variable Player Powers",22007,"Adventure, Fantasy, Novel-based",Reiner Knizia,Fantasy Flight Games,2.5706,Nothing,Adventure,Fantasy,Novel-based,,Cooperative Game,Dice Rolling,Hand Management,Set Collection,Variable Player Powers
826,Cartagena,2,5,45.0,2000,6.68774,6.48114,7339.0,8,"Hand Management, Modular Board, Race",8177,"Pirates, Racing",Leo Colovini,Venice Connection,1.6067,Nothing,Pirates,Racing,,,Hand Management,Modular Board,Race,,
827,Attila,2,5,45.0,2000,6.49651,6.00871,1558.0,10,"Area Majority / Influence, Stock Holding",1876,Ancient,Karl-Heinz Schmiel,999 Games,2.5578,Nothing,Ancient,,,,Area Majority / Influence,Stock Holding,,,
831,Schrille Stille,3,6,90.0,1999,6.47275,5.81906,688.0,10,"Commodity Speculation, Secret Unit Deployment, Voting",720,"Economic, Music",Peter Wichmann,Zoch Verlag,1.7625,Nothing,Economic,Music,,,Commodity Speculation,Secret Unit Deployment,Voting,,
833,For the People,2,2,360.0,1998,7.74515,6.58305,1417.0,12,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation",4005,"American Civil War, Wargame",Mark Herman,The Avalon Hill Game Co,3.6786,Nothing,American Civil War,Wargame,,,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,Simulation,
834,Chronology,2,8,30.0,1996,6.47797,5.82612,776.0,12,Push Your Luck,1159,"Card Game, Educational, Party Game, Trivia",Jane Ruemmele,Buffalo Games,1.4603,Nothing,Card Game,Educational,Party Game,Trivia,Push Your Luck,,,,
840,Corsairs,2,4,60.0,2000,6.06864,5.6452,515.0,10,"Area Majority / Influence, Dice Rolling, Hand Management, Modular Board",759,"Card Game, Fighting, Nautical, Pirates","Thorsten Löpmann, Andreas Wetter",Hans im Glück,1.6818,Nothing,Card Game,Fighting,Nautical,Pirates,Area Majority / Influence,Dice Rolling,Hand Management,Modular Board,
